title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
The best of #Tokyo2020  | Top Moments,NjIU8lSNTy4,1218595,27922,718,1415,0
 Women&#39;s 4x400m Final | Tokyo Replays,HYSUxgswIkk,1028375,9649,418,596,0
USA leaves Tokyo with Olympic GOLD in men&#39;s 4x400m relay (With Replays) | NBC Sports,EjDl-UPs4-k,2283713,28622,455,1794,0
China&#39;s breathtaking routine earns another artistic swimming silver | Tokyo Olympics | NBC Sports,o6jEtbwPzVg,2627134,30684,1107,2859,0
France  vs USA   | Men&#39;s Basketball Gold Medal Match | Tokyo Replays,8YSrNfcKvA0,1150211,12871,527,647,0
Tareg Hamedi loses gold medal after knocking opponent out cold | Tokyo Olympics | NBC Sports,A1HQDP-tkxo,2955495,15215,24267,20414,0
Men&#39;s BMX Gold Medal Race | Tokyo Replays,2RlLmK5WM_s,389096,4515,122,95,0
All 17 world records DEMOLISHED at the Tokyo Olympics | NBC Sports,zM-X0MVbjXQ,737390,8598,253,541,0
United States SWEEPS Brazil in Tokyo to win historic first Olympic volleyball gold | NBC Sports,L_U5i22r--c,1570899,23628,299,2225,0
PERFECT SCORE: 14-year-old Quan&#39;s all-time diving final wins gold | Tokyo Olympics | NBC Sports,QXg30_BgOEQ,4815144,89967,1632,11102,0
Brazil  vs USA  | Women&#39;s Volleyball Gold Medal Match | Tokyo Replays,Sxag-kynFFM,1930540,17636,916,1614,0
Simone Biles flies right off floor surface during qualifying routine | Tokyo Olympics | NBC Sports,HG6hsTTLWMg,4099287,25289,1352,3911,0
LIVE BMX action from the Supercross World Cup! | Round 7,pcZHWXCgvJ4,29277,813,28,84,0
China&#39;s Shi lifts combined 802.48 POUNDS for new world record | Tokyo Olympics | NBC Sports,9pocls7mxS0,1976842,22968,849,4474,0
American Katie Nageotte goes from near-disaster to POLE VAULT GOLD | Tokyo Olympics | NBC Sports,U8HPcHeAWnU,3485683,33890,741,2582,0
Marcell Jacobs claims Olympic men&#39;s 100m gold for Italy in Tokyo stunner (With Replays) | NBC Sports,JniLkO5_pv4,1249236,10986,257,2019,0
Ryan Crouser breaks Olympic record THREE TIMES to win epic shot put gold in Tokyo | NBC Sports,VtHfAgB8nGE,2345763,36162,351,1813,0
Tom Pidcock roars from 4th row to gold medal in men&#39;s mountain biking | Tokyo Olympics | NBC Sports,NRkEVX4EuQo,1210040,9481,243,796,0
MAGIC MAN: David Taylor wins gold with signature late comeback | Tokyo Olympics | NBC Sports,ADcFirJcob4,1085075,15966,220,1438,0
 Men&#39;s 4x100m Final | Tokyo Replays,pZ2G6BoWy04,792177,10261,295,1130,0
Raven Saunders is all of us when we win something! ,ItaWml6ZgMw,14971,468,58,28,0
Elaine Thompson-Herah storms to 100m gold | #Tokyo2020 Highlights,bX_6HOzoSzA,357255,2110,74,151,0
Women&#39;s Doubles  Badminton Gold Medal Match| Tokyo Replays,AgD5do7ZKfQ,7513918,139962,4065,9556,0
Women&#39;s Uneven Bars Final | Tokyo Replays,I84it6P5_i8,30614,563,12,138,0
